case_id,domain,category,provider,variant,raw_text,prompt_used,expected_pronunciation,hypothesis,wer,per,entity_acc,ttfb_ms,total_ms,cold,status
rx_synth_001,Pharmacy,drug_names,rime,default,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,tab augmenting 625 milligrams one to zero one by five days e x key zero three slash twenty six,87.5,87.5,100.0,1250.75,2320.5,True,SUCCESS
rx_synth_001,Pharmacy,drug_names,rime,tuned,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,"Tablet Augmentin 625 milligram, 1-0-1 times 5 days, expiry, March 26.",56.25,0.0,100.0,1173.93,1981.78,False,SUCCESS
rx_synth_001,Pharmacy,drug_names,openai,default,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,,,87.5,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_001,Pharmacy,drug_names,openai,tuned,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,,,0.0,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_001,Pharmacy,drug_names,elevenlabs,default,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,,,87.5,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_synth_001,Pharmacy,drug_names,elevenlabs,tuned,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,,,0.0,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_synth_002,Pharmacy,strengths,rime,default,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol zerofive milligram orally twice daily for three days,paracetamol 0.5 milligrams orally twice daily for three days,22.22,33.33,100.0,1202.98,2022.39,False,SUCCESS
rx_synth_002,Pharmacy,strengths,rime,tuned,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol zerofive milligram orally twice daily for three days,Paracetamol zerofive milligram orally twice daily for three days,paracetamol 0.5 milligram orally twice daily for 3 days.,22.22,0.0,100.0,1140.33,1950.33,False,SUCCESS
rx_synth_002,Pharmacy,strengths,openai,default,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol zerofive milligram orally twice daily for three days,,,33.33,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_002,Pharmacy,strengths,openai,tuned,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol zerofive milligram orally twice daily for three days,Paracetamol zerofive milligram orally twice daily for three days,,,0.0,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
