id,session_id,case_id,provider,variant,naturalness,intelligibility,medication_correct,strength_correct,dosage_correct,duration_correct,date_correct,timestamp
34,blind_71b40205,rx_synth_098,rime,default,5,4,1,1,1,1,1,2026-09-10 14:48:13
33,blind_4fc3b070,rx_synth_227,rime,tuned,5,4,1,1,1,1,1,2026-09-10 14:39:33
32,blind_e3e53b92,rx_synth_227,rime,default,5,4,,,,,,2026-09-10 13:56:20
31,blind_1f1de2ae,rx_synth_008,rime,default,5,4,1,1,1,1,1,2026-09-10 13:55:47
30,blind_002cd008,rx_synth_011,rime,default,5,5,,,,,,2026-09-10 13:28:14
29,blind_ccd2a265,rx_synth_094,rime,tuned,5,4,,,,,,2026-09-10 12:48:51
28,blind_ec441ff6,rx_synth_034,rime,tuned,5,4,1,1,1,1,1,2026-09-10 12:48:30
27,blind_bbb49a83,rx_synth_025,rime,default,5,4,,,,,,2026-09-10 12:11:35
26,blind_c453a5f5,rx_synth_042,rime,tuned,5,4,1,1,1,1,1,2026-09-10 12:11:14
25,blind_52e34d0c,rx_synth_040,rime,tuned,5,4,,,,,,2026-09-10 11:45:20
24,blind_19006881,addr_016,rime,default,5,4,1,1,1,1,1,2026-09-10 11:45:05
23,blind_61da5f56,rx_synth_095,rime,tuned,5,4,,,,,,2026-09-10 11:35:45
22,blind_2ee1b2a4,rx_synth_049,rime,default,5,4,1,1,1,1,1,2026-09-10 11:35:33
21,blind_a3abea08,rx_synth_067,rime,tuned,5,4,,,,,,2026-09-10 11:27:57
20,blind_22d509c4,rx_synth_218,rime,default,5,4,1,1,1,1,1,2026-09-10 11:27:46
19,blind_2f32edf0,rx_synth_222,rime,default,5,4,,,,,,2026-09-10 09:28:07
18,blind_6a4a673c,rx_synth_001,rime,tuned,5,4,1,1,1,1,1,2026-09-10 09:27:54
17,blind_4daf4f95,rx_synth_168,rime,default,5,4,,,,,,2026-09-10 09:24:44
16,blind_a2e39fec,rx_synth_214,rime,tuned,5,4,,,,,,2026-09-10 09:18:14
15,blind_cd7cc9b1,rx_synth_179,rime,default,5,4,,,,,,2026-09-10 09:16:50
14,blind_33daf1fd,rx_022,rime,tuned,5,4,,,,,,2026-09-10 09:12:40
13,blind_b24ee645,rx_024,rime,default,5,4,,,,,,2026-09-10 09:06:34
12,blind_91137dba,rx_011,rime,default,5,4,,,,,,2026-09-10 09:03:35
11,blind_2e51d1a9,addr_010,rime,tuned,5,4,,,,,,2026-09-10 08:52:34
10,blind_374feddb,addr_020,rime,default,5,4,,,,,,2026-09-10 08:41:25
9,blind_67a24158,addr_004,rime,default,5,4,,,,,,2026-09-10 08:07:30
8,blind_f17e952e,addr_012,rime,tuned,5,4,,,,,,2026-09-10 07:06:17
7,blind_07d3dbbb,addr_014,rime_default,default,5,4,,,,,,2026-09-10 06:55:10
6,blind_8ec2d294,addr_024,rime_default,default,5,4,,,,,,2026-09-10 06:52:05
5,blind_5bbbee33,addr_015,rime_default,default,5,4,,,,,,2026-09-10 06:08:55
4,blind_0190ab8f,addr_007,rime_default,default,5,4,,,,,,2026-09-10 06:07:41
3,blind_e4f8bf59,rx_001,rime_default,default,5,4,,,,,,2026-09-10 06:05:26
2,blind_4a955a2d,rx_001,rime_default,default,5,4,,,,,,2026-09-10 06:04:28
1,blind_b3bfdf6f,addr_023,rime_default,default,5,4,,,,,,2026-09-10 06:01:47
