case_id,domain,category,provider,variant,raw_text,prompt_used,expected_pronunciation,hypothesis,wer,per,entity_acc,ttfb_ms,total_ms,cold,status
rx_synth_001,Pharmacy,drug_names,rime,tuned,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,"Tablet Augmentin 625 milligram, 1-0-1 times 5 days, expiry, March 26.",56.25,0.0,100.0,1173.93,1981.78,False,SUCCESS
rx_synth_001,Pharmacy,drug_names,openai,tuned,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,,,0.0,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_001,Pharmacy,drug_names,elevenlabs,tuned,Tab Augmentin 625mg 1-0-1 x 5 days Exp: 03/26,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,Tablet Augmentin six two five milligram one zero one times five days Expiry March twenty six,,,0.0,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_synth_002,Pharmacy,strengths,rime,tuned,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol zerofive milligram orally twice daily for three days,Paracetamol zerofive milligram orally twice daily for three days,paracetamol 0.5 milligram orally twice daily for 3 days.,22.22,0.0,100.0,1140.33,1950.33,False,SUCCESS
rx_synth_002,Pharmacy,strengths,openai,tuned,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol zerofive milligram orally twice daily for three days,Paracetamol zerofive milligram orally twice daily for three days,,,0.0,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_002,Pharmacy,strengths,elevenlabs,tuned,Paracetamol 0.5 mg orally twice daily for 3 days,Paracetamol zerofive milligram orally twice daily for three days,Paracetamol zerofive milligram orally twice daily for three days,,,0.0,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_synth_003,Pharmacy,strengths,rime,tuned,Tab Amoxicillin 1250 mg 1-0-1 x 7 days,Tablet Amoxicillin one two five zero milligram one zero one times seven days,Tablet Amoxicillin one two five zero milligram one zero one times seven days,tablet amoxicillin 1250 milligram 101 times 7 days,61.54,0.0,100.0,1197.35,2054.13,False,SUCCESS
rx_synth_003,Pharmacy,strengths,openai,tuned,Tab Amoxicillin 1250 mg 1-0-1 x 7 days,Tablet Amoxicillin one two five zero milligram one zero one times seven days,Tablet Amoxicillin one two five zero milligram one zero one times seven days,,,0.0,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_003,Pharmacy,strengths,elevenlabs,tuned,Tab Amoxicillin 1250 mg 1-0-1 x 7 days,Tablet Amoxicillin one two five zero milligram one zero one times seven days,Tablet Amoxicillin one two five zero milligram one zero one times seven days,,,0.0,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_synth_004,Pharmacy,dosage_schedules,rime,tuned,Tab Dolo 650mg 1-0-1 after meals for 3 days,Tablet Dolo six five zero milligram one zero one after meals for three days,Tablet Dolo six five zero milligram one zero one after meals for three days,tablet DOLO 650 milligram 101 after meals for three days,42.86,0.0,100.0,1118.56,2258.42,False,SUCCESS
rx_synth_004,Pharmacy,dosage_schedules,openai,tuned,Tab Dolo 650mg 1-0-1 after meals for 3 days,Tablet Dolo six five zero milligram one zero one after meals for three days,Tablet Dolo six five zero milligram one zero one after meals for three days,,,0.0,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_004,Pharmacy,dosage_schedules,elevenlabs,tuned,Tab Dolo 650mg 1-0-1 after meals for 3 days,Tablet Dolo six five zero milligram one zero one after meals for three days,Tablet Dolo six five zero milligram one zero one after meals for three days,,,0.0,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_synth_005,Pharmacy,dosage_schedules,rime,tuned,Cap Pantocid 40mg 0-1-0 before meals x 14 days,Capsule Pantocid forty milligram zero one zero before meals times fourteen days,Capsule Pantocid forty milligram zero one zero before meals times fourteen days,Hapsal pentosid 40 milligram 0 1 0 before meals times 14 days,58.33,0.0,80.0,1075.25,1894.65,False,SUCCESS
rx_synth_005,Pharmacy,dosage_schedules,openai,tuned,Cap Pantocid 40mg 0-1-0 before meals x 14 days,Capsule Pantocid forty milligram zero one zero before meals times fourteen days,Capsule Pantocid forty milligram zero one zero before meals times fourteen days,,,0.0,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_synth_005,Pharmacy,dosage_schedules,elevenlabs,tuned,Cap Pantocid 40mg 0-1-0 before meals x 14 days,Capsule Pantocid forty milligram zero one zero before meals times fourteen days,Capsule Pantocid forty milligram zero one zero before meals times fourteen days,,,0.0,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
