case_id,domain,category,provider,variant,raw_text,prompt_used,expected_pronunciation,hypothesis,wer,per,entity_acc,ttfb_ms,total_ms,cold,status
rx_001,Pharmacy,dosages,rime,default,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210","Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,"TAB.  Augmentin 625 milligrams 1 to 01 by 5 days.  Dr. Reddy's lab, Hyderabad, pH 98765, 43210.",85.19,96.3,100.0,1078.82,2230.54,True,SUCCESS
rx_001,Pharmacy,dosages,openai,default,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210","Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,,,96.3,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_001,Pharmacy,dosages,elevenlabs,default,"Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210","Tab. Augmentin 625mg 1-0-1 x 5 days. Dr. Reddy's Lab, Hyderabad. Ph: 98765-43210",Tablet Augmentin six two five milligram one zero one times five days Doctor Reddys Lab Hyderabad Phone nine eight seven six five four three two one zero,,,96.3,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_002,Pharmacy,quantities,rime,default,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,CEP azathol 200 milligrams slash 5 milliliters 5 milliliters bd mfg alembic exp  03 slash 26,94.74,94.74,80.0,1028.09,1831.52,False,SUCCESS
rx_002,Pharmacy,quantities,openai,default,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,,,94.74,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_002,Pharmacy,quantities,elevenlabs,default,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syp. Azithral 200mg/5ml - 5ml BD. Mfg: Alembic. Exp: 03/26.,Syrup Azithral two hundred milligram per five milliliter five milliliter twice daily Manufactured by Alembic Expiry March twenty six,,,94.74,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_003,Pharmacy,code_switched,rime,default,Tab. Dolo 650mg 1-1-1 x 3 days. Khane ke baad lena. Ph: 91234-56789,Tab. Dolo 650mg 1-1-1 x 3 days. Khane ke baad lena. Ph: 91234-56789,Tablet Dolo six five zero milligram one one one times three days Khane ke baad lena Phone nine one two three four five six seven eight nine,"Tab.  Double 650 milligrams 1 to 1 1 by 3 days.  Cane K. Bodlana, Ph. 9 1 2 3 4, 5 6 7 8 9.",96.3,85.19,80.0,1038.11,1843.65,False,SUCCESS
rx_003,Pharmacy,code_switched,openai,default,Tab. Dolo 650mg 1-1-1 x 3 days. Khane ke baad lena. Ph: 91234-56789,Tab. Dolo 650mg 1-1-1 x 3 days. Khane ke baad lena. Ph: 91234-56789,Tablet Dolo six five zero milligram one one one times three days Khane ke baad lena Phone nine one two three four five six seven eight nine,,,85.19,,,,,FAILED (400: OPENAI_API_KEY environment variable is missing or empty. Please set a valid)
rx_003,Pharmacy,code_switched,elevenlabs,default,Tab. Dolo 650mg 1-1-1 x 3 days. Khane ke baad lena. Ph: 91234-56789,Tab. Dolo 650mg 1-1-1 x 3 days. Khane ke baad lena. Ph: 91234-56789,Tablet Dolo six five zero milligram one one one times three days Khane ke baad lena Phone nine one two three four five six seven eight nine,,,85.19,,,,,FAILED (400: ELEVENLABS_API_KEY environment variable is missing or empty. Please set a v)
rx_004,Pharmacy,drug_names,rime,default,Cap. Pantocid 40mg OD before breakfast. Mfg: Sun Pharma. Exp: 08/27.,Cap. Pantocid 40mg OD before breakfast. Mfg: Sun Pharma. Exp: 08/27.,Capsule Pantocid forty milligram once daily before breakfast Manufactured by Sun Pharma Expiry August twenty seven,"Cap.  Hantoset 40 mg odd before breakfast.  MFG, Sun Pharma, EXP 08 slash 27.",75.0,81.25,75.0,1316.56,3912.64,False,SUCCESS
